floodgate_id,name,dcode,location_details,type_gate,num_gate,size,location
20,ประตูระบายน้ำคลองสองตะวันตก,1046,คลองสองตะวันตก ตัด ถ. หทัยราษฏร์,05,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.7231108822014 13.864023983163431)
4,ประตูระบายน้ำคลองสามตะวันออก,1046,คลองสามตะวันตกตัด ถ. หทัยราษฏร์,05,1,กว้ง4.0ม.*สูง4.0ม.,POINT (100.72279969928569 13.879554133886806)
21,ประตูระบายน้ำคลองสี่ตะวักตก,1046,คลองสี่ตะวันตก ตัด ถ. หทัยราษฏร์,05,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.72246360759925 13.895875637656411)
75,ประตูระบายน้ำคลองสามวา,1046,คลองสามวา ตัด ถ. หทัยนฤมิตร,05,1,กว้าง6.0ม.*สูง6.0ม.,POINT (100.72923804411269 13.85956982257463)
22,ประตูระบายน้ำคลองลำเบน,1046,คลองลำเบนตัด ถ. หทัยราษกร์,05,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.72227580409607 13.906730645392564)
76,ประตูระบายน้ำคลองลำบึงขวาง,1010,คลองลำบึงขวาง ตัด ถ.ร่มเกล้า,05,1,กว้าง6.0ม.*สูง6.0ม.,POINT (100.74475492862517 13.799509405625)
58,ทำนบและประตูระบายน้ำคลองปากคลองลำต้อยติง,1011,คลองหลวงแพ่ง ถ.ร่วมพัฒนา,06,1,กว้าง4.30ม.*สูง3.0ม.,POINT (100.85828911263104 13.727754031564762)
59,ทำนบและประตูระบายน้ำคลองลำตาแฝง,1003,คลองหลวงแพ่ง ถ.ร่วมพัฒนา,03,1,กว้าง4.3ม.*สูง3.0ม.,POINT (100.87251370328039 13.797437465044181)
23,ประตูระบายน้ำวัดอรุณ,1016,ถ.อรุณอัมรินทร์,03,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.48513721292908 13.747188532317805)
24,ประตูระบายน้ำวัดระฆัง,1016,ถ.อรุณอัมรินทร์,03,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.48374953098778 13.752132627841581)
56,ประตูระบายน้ำคลองสวัสดิ์,1048,ซ.บรมราชชนี 121 ทางเข้าหมู่บ้านพรรณพฤกษา,03,1,กว้าง4.25ม.*สูง4.1ม.,POINT (100.34683126797111 13.778851296676132)
11,ประตูระบายน้ำคลองวัดนาคปรก,1015,ถ.วุฒากาศ ทางเข้าวัดนาคปรก,03,1,กว้าง4.0ม.*สูง3.75ม.,POINT (100.47088852169549 13.715744097839623)
25,ประตูระบายน้ำคลองวัดเจ้าอาม,1019,ถ.บางขุนนนท์-ตลิ่งชัน เยื้องวัดเจ้าอาม,03,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.4648247325573 13.7789154215415)
67,ประตูระบายน้ำคลองโพ,1048,ถ.พุทธมณฑลสาย2,03,1,กว้าง6.0ม.*สูง4.5ม.,POINT (100.39483416750487 13.796749229989784)
46,ประตูระบายน้ำคลองบางคูเวียง,1048,ถ.พัฒนาศาลาธรรมสพน์,03,1,กว้าง4.0ม.*สูง4.5ม.,POINT (100.35950221266886 13.800005604600367)
26,ประตูระบายน้ำคลองบางขุนนท์,1020,ถ.บางขุนนท์- ตลิ่งชัน,03,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.4668808464011 13.772945747759735)
