id_flood,name,dcode,location,type_gate,num_gate,size,geometry
001,ประตูระบายน้ำคลงอกะจะ(ตอนถนนศรีนครินทร์),1034,ติดสะพานคลองกะจะ ถ.ศรีนครินทร์,03,1,กว้าง4.0ม.*สูง3.5ม.,POINT (676734.130367 1520650.611812)
057,ประตูระบายน้ำแยกคลองพลับพลาตอนคลองลาดพร้าว,1045,ซอยรามคำแหง 21 ใกล้สถานีตำรวจนครบาลวังทองหลาง,03,1,กว้าง4.26ม.*สูง3.3ม.,POINT (672876.756311 1521381.301128)
069,ประตูระบายน้ำประเวศ (กระทุ่มเสือปลา),1032,ข้างวัดกระทุ่มเสือปลา ถ.อ่อนนุช,03,2,กว้าง6.0ม.*สูง6.0ม.,POINT (682504.864709 1517830.247422)
070,ประตูระบายน้ำบางชัน(ตอนคลองแสนแสบ),1043,ถ.เสรีไทย,03,1,กว้าง6.0ม.*สูง6.0ม.,POINT (684331.878793 1526033.804404)
071,ประตูระบายน้ำพระยาสุเรนทร์(ใต้),1043,ซ.คู้บอน ถ.รามอินทรา,03,1,กว้าง6.0ม.*สูง6.0ม.,POINT (679502.433436 1530617.824159)
017,ประตูระบายน้ำคลองหม้อแตก,1042,คลองหม้อแตกตัด ถ.สายไหม,05,1,กว้าง4.0ม.*สูง4.0ม.,POINT (679591.020694 1539676.414148)
072,ประตูระบายน้ำคลองสองใต้,1042,คลองสองตัด ถ.สายไหม,05,1,กว้าง6.0ม.*สูง6.0ม.,POINT (677136.87411 1540796.515512)
073,ประตูระบายน้ำแสนแสบ (มีนบุรี),1010,ถ.ราษฏร์อุทิศ,05,1,กว้าง6.0ม.*สูง6.0ม.,POINT (688874.114757 1528619.981232)
074,ประตูระบายน้ำลาดกระบัง,1032,ถ.อ่อนนุช,05,1,กว้าง6.0ม.*สูง6.0ม.,POINT (689222.654359 1517905.079307)
018,ประตูระบายน้ำพระยาสุเรนทร์(เหนือ),1042,ใกล้วัดหนองใหญ่ ถ.สายไหม,05,1,กว้าง4.0ม.*สูง4.0ม.,POINT (682287.255513 1539658.29818)
006,ประตูระบายน้ำคลองหนึ่งลำปลาทิว,1003,คลองหนึ่งลำปลาทิว ตัด ถ.อยู่วิทยา,05,1,กว้าง4.0ม*สูง4.0ม.,POINT (702113.310552 1529556.870498)
007,ประตูระบายน้ำคลองหนึ่งตะวันออก,1003,คลองหนึ่งตะวันออก ตัด ถ.นิมิตรใหม่,05,1,กว้าง4.0ม*สูง4.0ม.,POINT (687309.57637 1531878.878447)
019,ประตูระบายน้ำคลองลำปลาทิว,1003,คลองสองลำปลาทิว ตัด ถ.อยู่วิทยา,05,1,กว้าง4.0ม.*สูง4.0ม.,POINT (702343.453935 1528147.613982)
020,ประตูระบายน้ำคลองสองตะวันตก,1046,คลองสองตะวันตก ตัด ถ. หทัยราษฏร์,05,1,กว้าง4.0ม.*สูง4.0ม.,POINT (686213.991364 1533359.220968)
004,ประตูระบายน้ำคลองสามตะวันออก,1046,คลองสามตะวันตกตัด ถ. หทัยราษฏร์,05,1,กว้ง4.0ม.*สูง4.0ม.,POINT (686167.962847 1535077.210062)
021,ประตูระบายน้ำคลองสี่ตะวักตก,1046,คลองสี่ตะวันตก ตัด ถ. หทัยราษฏร์,05,1,กว้าง4.0ม.*สูง4.0ม.,POINT (686118.60069 1536882.735441)
075,ประตูระบายน้ำคลองสามวา,1046,คลองสามวา ตัด ถ. หทัยนฤมิตร,05,1,กว้าง6.0ม.*สูง6.0ม.,POINT (686879.887828 1532871.201402)
022,ประตูระบายน้ำคลองลำเบน,1046,คลองลำเบนตัด ถ. หทัยราษกร์,05,1,กว้าง4.0ม.*สูง4.0ม.,POINT (686089.626491 1538083.572248)
076,ประตูระบายน้ำคลองลำบึงขวาง,1010,คลองลำบึงขวาง ตัด ถ.ร่มเกล้า,05,1,กว้าง6.0ม.*สูง6.0ม.,POINT (688605.652162 1526238.348055)
058,ทำนบและประตูระบายน้ำคลองปากคลองลำต้อยติง,1011,คลองหลวงแพ่ง ถ.ร่วมพัฒนา,06,1,กว้าง4.30ม.*สูง3.0ม.,POINT (700943.552673 1518391.088857)
059,ทำนบและประตูระบายน้ำคลองลำตาแฝง,1003,คลองหลวงแพ่ง ถ.ร่วมพัฒนา,03,1,กว้าง4.3ม.*สูง3.0ม.,POINT (702422.229189 1526113.149074)
