dcode,dname,เขต,รหัสสถานี,สถานี,วัน-เวลา,ฝน 5 นาที,ฝน 15 นาที,ฝน 30 นาที,ฝน 1 ชม.,ฝน 3 ชม.,ฝน 6 ชม.,ฝน 12 ชม.,ฝน 24 ชม.,ดูข้อมูล
1041.0,เขตหลักสี่,หลักสี่,RF.LSI.01,สนข.หลักสี่,2567-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ดูข้อมูล
1017.0,เขตห้วยขวาง,ห้วยขวาง,RF.HKG.01,สนข.ห้วยขวาง,2567-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ดูข้อมูล
,,อำเภอเมืองสมุทรปราการ,RF.SPK.01,ส.คลองสำโรง,2567-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ดูข้อมูล
1001.0,เขตพระนคร,พระนคร,RF.PNK.02,ส.เทเวศร์,2567-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,ดูข้อมูล
1033.0,เขตคลองเตย,คลองเตย,RF.KTY.01,สนข.คลองเตย,2567-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ดูข้อมูล
1018.0,เขตคลองสาน,คลองสาน,RF.KSN.01,สนข.คลองสาน,2567-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ดูข้อมูล
1046.0,เขตคลองสามวา,คลองสามวา,RF.KSW.01,สนข.คลองสามวา,2567-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ดูข้อมูล
1043.0,เขตคันนายาว,คันนายาว,RF.KNY.02,จุดวัด ค.ลำชะล่า-ถ.นวมินทร์,2567-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ดูข้อมูล
1030.0,เขตจตุจักร,จตุจักร,RF.CTC.01,บ่อสูบศาลอาญารัชดา,2567-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ดูข้อมูล
1035.0,เขตจอมทอง,จอมทอง,RF.JTG.01,สนข.จอมทอง,2567-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ดูข้อมูล
