dcode,dname,AREA,population,num_male,num_female,num_school,num_hos,num_comm,num_temple,num_health,canal_count,flood_point_count,floodgate_count,pump_number,pump_ready,total_ready,จำนวนจุดเสี่ยง,จำนวนจุดเฝ้าระวังน้ำท่วม,year,total_rain,max_daily_rain,avg_daily_rain,heavy_rain_days,total_storm_days,max_storm_intensity
1009,เขตพระโขนง,13578695.0,93461,43142,50319,4,0,45,4,2,31,0,0,8,6,4,1,3,2023,1784.5,156.5,4.97075208913649,6,265,4
1009,เขตพระโขนง,13578695.0,93461,43142,50319,4,0,45,4,2,31,0,0,8,6,4,1,3,2024,584.0,111.5,4.055555555555555,1,114,4
1024,เขตราษฏร์บูรณะ,12333130.0,86643,41663,44980,6,0,28,7,2,27,0,1,14,14,14,1,1,2023,1306.0,92.5,3.637883008356546,2,265,4
1024,เขตราษฏร์บูรณะ,12333130.0,86643,41663,44980,6,0,28,7,2,27,0,1,14,14,14,1,1,2024,517.5,57.0,3.59375,0,114,4
1050,เขตบางบอน,35857236.0,105161,50478,54683,9,0,12,3,1,22,1,0,19,18,19,2,4,2023,1147.5,79.5,3.1963788300835656,2,265,4
1050,เขตบางบอน,35857236.0,105161,50478,54683,9,0,12,3,1,22,1,0,19,18,19,2,4,2024,505.0,72.5,3.5069444444444446,1,114,4
1047,เขตบางนา,18947526.0,95855,45248,50607,7,0,39,4,1,7,0,0,9,9,9,0,16,2023,1796.5,177.0,5.004178272980502,5,265,4
1047,เขตบางนา,18947526.0,95855,45248,50607,7,0,39,4,1,7,0,0,9,9,9,0,16,2024,701.0,73.5,4.868055555555555,3,114,4
1021,เขตบางขุนเทียน,122207808.0,165693,78811,86882,16,0,49,15,1,118,1,12,19,19,19,6,5,2023,1616.0,123.0,4.5013927576601676,1,265,4
1021,เขตบางขุนเทียน,122207808.0,165693,78811,86882,16,0,49,15,1,118,1,12,19,19,19,6,5,2024,631.0,59.0,4.381944444444445,0,114,4
1036,เขตดอนเมือง,36691444.0,166635,83065,83570,6,0,92,8,1,13,1,1,14,12,14,1,1,2023,820.5,42.0,2.285515320334262,0,265,4
1036,เขตดอนเมือง,36691444.0,166635,83065,83570,6,0,92,8,1,13,1,1,14,12,14,1,1,2024,312.0,33.5,2.1666666666666665,0,114,4
1003,เขตหนองจอก,240448192.0,157224,76681,80543,37,1,92,17,1,98,0,4,13,7,12,15,1,2023,2564.0,97.5,7.142061281337047,5,265,4
1003,เขตหนองจอก,240448192.0,157224,76681,80543,37,1,92,17,1,98,0,4,13,7,12,15,1,2024,1228.0,90.5,8.527777777777779,5,114,4
1042,เขตสายไหม,43612880.0,188163,88764,99399,9,0,71,8,1,30,0,3,16,15,16,14,1,2023,1868.0,89.0,5.203342618384401,4,265,4
1042,เขตสายไหม,43612880.0,188163,88764,99399,9,0,71,8,1,30,0,3,16,15,16,14,1,2024,867.0,127.5,6.020833333333333,3,114,4
1046,เขตคลองสามวา,120176920.0,169729,80701,89028,18,0,81,10,1,77,0,5,20,12,20,8,4,2023,1705.5,77.0,4.750696378830083,4,265,4
