dcode,dname,AREA,population,num_male,num_female,num_school,num_hos,num_comm,num_temple,num_health,canal_count,flood_point_count,floodgate_count,pump_number,pump_ready,total_ready,จำนวนจุดเสี่ยง,จำนวนจุดเฝ้าระวังน้ำท่วม,year,total_rain,max_daily_rain,avg_daily_rain,heavy_rain_days,total_storm_days,max_storm_intensity,rain_load_per_pump,pump_density,canal_density,pop_density,retention_capacity
1040,เขตบางแค,47890656.0,191781,89905,101876,12,1,48,5,1,121,1,0,18,15,18,6,7,2023,1679.0,89.5,4.676880222841226,3,265,4,93.27777777777777,3.758562004245672e-07,2.526588902854035e-06,0.004004559887423551,121
1040,เขตบางแค,47890656.0,191781,89905,101876,12,1,48,5,1,121,1,0,18,15,18,6,7,2024,863.5,76.0,5.996527777777778,3,114,4,47.97222222222222,3.758562004245672e-07,2.526588902854035e-06,0.004004559887423551,121
1034,เขตสวนหลวง,24113560.0,115731,53828,61903,8,0,46,8,2,43,2,2,18,16,18,7,0,2023,1246.5,95.5,3.4721448467966574,3,265,4,69.25,7.464679624244616e-07,1.7832290213473249e-06,0.0047994157644080755,45
1034,เขตสวนหลวง,24113560.0,115731,53828,61903,8,0,46,8,2,43,2,2,18,16,18,7,0,2024,499.0,89.5,3.4652777777777777,1,114,4,27.72222222222222,7.464679624244616e-07,1.7832290213473249e-06,0.0047994157644080755,45
1039,เขตวัฒนา,12996544.0,81755,38567,43188,8,0,17,2,1,17,0,0,4,4,4,1,14,2023,1401.0,95.0,3.902506963788301,4,265,4,350.25,3.077741282605591e-07,1.3080400451073762e-06,0.006290518463985503,17
1039,เขตวัฒนา,12996544.0,81755,38567,43188,8,0,17,2,1,17,0,0,4,4,4,1,14,2024,564.0,80.0,3.9166666666666665,1,114,4,141.0,3.077741282605591e-07,1.3080400451073762e-06,0.006290518463985503,17
1016,เขตบางกอกใหญ่,6298272.0,72241,34182,38059,6,0,34,13,1,46,0,2,15,11,15,0,4,2023,1409.5,82.5,3.926183844011142,4,265,4,93.96666666666667,2.3816056213513803e-06,7.303590572144233e-06,0.011469971446136337,48
1016,เขตบางกอกใหญ่,6298272.0,72241,34182,38059,6,0,34,13,1,46,0,2,15,11,15,0,4,2024,493.0,49.0,3.423611111111111,0,114,4,32.86666666666667,2.3816056213513803e-06,7.303590572144233e-06,0.011469971446136337,48
1022,เขตภาษีเจริญ,19182494.0,129800,61178,68622,13,0,54,27,2,144,0,0,15,14,15,7,0,2023,1867.5,108.0,5.201949860724234,4,265,4,124.5,7.819629710297316e-07,7.506844521885423e-06,0.006766586242643944,144
1022,เขตภาษีเจริญ,19182494.0,129800,61178,68622,13,0,54,27,2,144,0,0,15,14,15,7,0,2024,740.0,71.0,5.138888888888889,1,114,4,49.333333333333336,7.819629710297316e-07,7.506844521885423e-06,0.006766586242643944,144
