dcode,dname,เขต,รหัสสถานี,สถานี,วัน-เวลา,ฝน 5 นาที,ฝน 15 นาที,ฝน 30 นาที,ฝน 1 ชม.,ฝน 3 ชม.,ฝน 6 ชม.,ฝน 12 ชม.,ฝน 24 ชม.,date_object,season
1024,เขตราษฏร์บูรณะ,ราษฏร์บูรณะ,RF.RBN.01,สนข.ราษฎร์บูรณะ,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1011,เขตลาดกระบัง,ลาดกระบัง,RF.LKB.02,ปตร.คลองประเวศฯ-ลาดกระบัง,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1038,เขตลาดพร้าว,ลาดพร้าว,RF.LPW.01,สนข.ลาดพร้าว,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1045,เขตวังทองหลาง,วังทองหลาง,RF.WTL.01,สนข.วังทองหลาง,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1039,เขตวัฒนา,วัฒนา,RF.WTN.01,สนข.วัฒนา,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1034,เขตสวนหลวง,สวนหลวง,RF.SLG.01,สนข.สวนหลวง,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1044,เขตสะพานสูง,สะพานสูง,RF.SPS.01,สนข.สะพานสูง,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1013,เขตสัมพันธวงศ์,สัมพันธวงศ์,RF.SPW.01,ท่าน้ำสวัสดี,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1028,เขตสาทร,สาทร,RF.STN.01,สนข.สาทร,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1042,เขตสายไหม,สายไหม,RF.SMI.01,สนข.สายไหม,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1023,เขตหนองแขม,หนองแขม,RF.NKM.01,สนข.หนองแขม,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1003,เขตหนองจอก,หนองจอก,RF.NJK.01,สนข.หนองจอก,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1041,เขตหลักสี่,หลักสี่,RF.LSI.01,สนข.หลักสี่,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
1017,เขตห้วยขวาง,ห้วยขวาง,RF.HKG.01,สนข.ห้วยขวาง,2567-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,Winter
