dcode,dname,เขต,รหัสสถานี,สถานี,วัน-เวลา,ฝน 5 นาที,ฝน 15 นาที,ฝน 30 นาที,ฝน 1 ชม.,ฝน 3 ชม.,ฝน 6 ชม.,ฝน 12 ชม.,ฝน 24 ชม.,date_object,season,active_storms_count,max_vmax_all_storms,min_mlsp_all_storms,active_storm_names
1045,เขตวังทองหลาง,วังทองหลาง,RF.WTL.01,สนข.วังทองหลาง,01/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,Winter,0,0.0,,[]
1039,เขตวัฒนา,วัฒนา,RF.WTN.01,สนข.วัฒนา,01/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,Winter,0,0.0,,[]
1034,เขตสวนหลวง,สวนหลวง,RF.SLG.01,สนข.สวนหลวง,01/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,Winter,0,0.0,,[]
1044,เขตสะพานสูง,สะพานสูง,RF.SPS.01,สนข.สะพานสูง,01/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,Winter,0,0.0,,[]
1013,เขตสัมพันธวงศ์,สัมพันธวงศ์,RF.SPW.01,ท่าน้ำสวัสดี,01/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,Winter,0,0.0,,[]
1028,เขตสาทร,สาทร,RF.STN.01,สนข.สาทร,01/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,Winter,0,0.0,,[]
1042,เขตสายไหม,สายไหม,RF.SMI.01,สนข.สายไหม,01/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,Winter,0,0.0,,[]
1023,เขตหนองแขม,หนองแขม,RF.NKM.01,สนข.หนองแขม,01/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,Winter,0,0.0,,[]
1003,เขตหนองจอก,หนองจอก,RF.NJK.01,สนข.หนองจอก,01/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,Winter,0,0.0,,[]
1041,เขตหลักสี่,หลักสี่,RF.LSI.01,สนข.หลักสี่,01/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,Winter,0,0.0,,[]
1017,เขตห้วยขวาง,ห้วยขวาง,RF.HKG.01,สนข.ห้วยขวาง,01/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,Winter,0,0.0,,[]
1033,เขตคลองเตย,คลองเตย,RF.KTY.01,สนข.คลองเตย,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1018,เขตคลองสาน,คลองสาน,RF.KSN.01,สนข.คลองสาน,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1046,เขตคลองสามวา,คลองสามวา,RF.KSW.01,สนข.คลองสามวา,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1043,เขตคันนายาว,คันนายาว,RF.KNY.02,จุดวัด ค.ลำชะล่า-ถ.นวมินทร์,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1030,เขตจตุจักร,จตุจักร,RF.CTC.01,บ่อสูบศาลอาญารัชดา,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1035,เขตจอมทอง,จอมทอง,RF.JTG.01,สนข.จอมทอง,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1036,เขตดอนเมือง,ดอนเมือง,RF.DMG.01,สนข.ดอนเมือง,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1026,เขตดินแดง,ดินแดง,RF.DDG.02,ศูนย์ฯ (ดินแดง),02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1002,เขตดุสิต,ดุสิต,RF.DST.01,สนข.ดุสิต,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1019,เขตตลิ่งชัน,ตลิ่งชัน,RF.TLC.01,สนข.ตลิ่งชัน,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1048,เขตทวีวัฒนา,ทวีวัฒนา,RF.TWW.01,สนข.ทวีวัฒนา,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1049,เขตทุ่งครุ,ทุ่งครุ,RF.TKU.01,สนข.ทุ่งครุ,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1015,เขตธนบุรี,ธนบุรี,RF.TBR.01,สนข.ธนบุรี,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1020,เขตบางกอกน้อย,บางกอกน้อย,RF.BKN.01,สนข.บางกอกน้อย,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1016,เขตบางกอกใหญ่,บางกอกใหญ่,RF.BKY.01,สนข.บางกอกใหญ่,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1006,เขตบางกะปิ,บางกะปิ,RF.BKP.02,จุดวัด ค.แสนแสบ-เขตบางกะปิ,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1021,เขตบางขุนเทียน,บางขุนเทียน,RF.BKT.01,สนข.บางขุนเทียน,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1005,เขตบางเขน,บางเขน,RF.BKA.01,สนข.บางเขน,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1031,เขตบางคอแหลม,บางคอแหลม,RF.BKL.01,สนข.บางคอแหลม,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1040,เขตบางแค,บางแค,RF.BKE.01,สนข.บางแค,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1029,เขตบางซื่อ,บางซื่อ,RF.BSU.01,สนข.บางซื่อ,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
1047,เขตบางนา,บางนา,RF.BNA.01,สนข.บางนา,02/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,Winter,0,0.0,,[]
